Category	Field	Description
SOCIAL	SOCIAL-HC04_VC47	Percent Margin of Error; MARITAL STATUS - Divorced
SOCIAL	SOCIAL-HC01_VC51	Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months
SOCIAL	SOCIAL-HC02_VC51	Margin of Error; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months
SOCIAL	SOCIAL-HC03_VC51	Percent; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months
SOCIAL	SOCIAL-HC01_VC52	"Estimate; FERTILITY - Unmarried women (widowed, divorced, and never married)"
SOCIAL	SOCIAL-HC02_VC52	"Margin of Error; FERTILITY - Unmarried women (widowed, divorced, and never married)"
SOCIAL	SOCIAL-HC03_VC52	"Percent; FERTILITY - Unmarried women (widowed, divorced, and never married)"
SOCIAL	SOCIAL-HC04_VC52	"Percent Margin of Error; FERTILITY - Unmarried women (widowed, divorced, and never married)"
SOCIAL	SOCIAL-HC01_VC53	"Estimate; FERTILITY - Unmarried women (widowed, divorced, and never married) - Per 1,000 unmarried women"
SOCIAL	SOCIAL-HC02_VC53	"Margin of Error; FERTILITY - Unmarried women (widowed, divorced, and never married) - Per 1,000 unmarried women"
SOCIAL	SOCIAL-HC01_VC54	"Estimate; FERTILITY - Per 1,000 women 15 to 50 years old"
SOCIAL	SOCIAL-HC02_VC54	"Margin of Error; FERTILITY - Per 1,000 women 15 to 50 years old"
SOCIAL	SOCIAL-HC01_VC55	"Estimate; FERTILITY - Per 1,000 women 15 to 50 years old - Per 1,000 women 15 to 19 years old"
SOCIAL	SOCIAL-HC02_VC55	"Margin of Error; FERTILITY - Per 1,000 women 15 to 50 years old - Per 1,000 women 15 to 19 years old"
SOCIAL	SOCIAL-HC01_VC56	"Estimate; FERTILITY - Per 1,000 women 15 to 50 years old - Per 1,000 women 20 to 34 years old"
SOCIAL	SOCIAL-HC02_VC56	"Margin of Error; FERTILITY - Per 1,000 women 15 to 50 years old - Per 1,000 women 20 to 34 years old"
SOCIAL	SOCIAL-HC01_VC57	"Estimate; FERTILITY - Per 1,000 women 15 to 50 years old - Per 1,000 women 35 to 50 years old"
SOCIAL	SOCIAL-HC02_VC57	"Margin of Error; FERTILITY - Per 1,000 women 15 to 50 years old - Per 1,000 women 35 to 50 years old"
SOCIAL	SOCIAL-HC01_VC61	Estimate; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years
SOCIAL	SOCIAL-HC02_VC61	Margin of Error; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years
SOCIAL	SOCIAL-HC03_VC61	Percent; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years
SOCIAL	SOCIAL-HC01_VC62	Estimate; GRANDPARENTS - Responsible for grandchildren
SOCIAL	SOCIAL-HC02_VC62	Margin of Error; GRANDPARENTS - Responsible for grandchildren
SOCIAL	SOCIAL-HC03_VC62	Percent; GRANDPARENTS - Responsible for grandchildren
SOCIAL	SOCIAL-HC04_VC62	Percent Margin of Error; GRANDPARENTS - Responsible for grandchildren
SOCIAL	SOCIAL-HC01_VC64	Estimate; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - Less than 1 year
SOCIAL	SOCIAL-HC02_VC64	Margin of Error; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - Less than 1 year
SOCIAL	SOCIAL-HC03_VC64	Percent; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - Less than 1 year
SOCIAL	SOCIAL-HC04_VC64	Percent Margin of Error; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - Less than 1 year
SOCIAL	SOCIAL-HC01_VC65	Estimate; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - 1 or 2 years
SOCIAL	SOCIAL-HC02_VC65	Margin of Error; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - 1 or 2 years
SOCIAL	SOCIAL-HC03_VC65	Percent; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - 1 or 2 years
SOCIAL	SOCIAL-HC04_VC65	Percent Margin of Error; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - 1 or 2 years
SOCIAL	SOCIAL-HC01_VC66	Estimate; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - 3 or 4 years
SOCIAL	SOCIAL-HC02_VC66	Margin of Error; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - 3 or 4 years
SOCIAL	SOCIAL-HC03_VC66	Percent; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - 3 or 4 years
SOCIAL	SOCIAL-HC04_VC66	Percent Margin of Error; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - 3 or 4 years
SOCIAL	SOCIAL-HC01_VC67	Estimate; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - 5 or more years
SOCIAL	SOCIAL-HC02_VC67	Margin of Error; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - 5 or more years
SOCIAL	SOCIAL-HC03_VC67	Percent; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - 5 or more years
SOCIAL	SOCIAL-HC04_VC67	Percent Margin of Error; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - 5 or more years
SOCIAL	SOCIAL-HC01_VC69	Estimate; GRANDPARENTS - Number of grandparents responsible for own grandchildren under 18 years
SOCIAL	SOCIAL-HC02_VC69	Margin of Error; GRANDPARENTS - Number of grandparents responsible for own grandchildren under 18 years
SOCIAL	SOCIAL-HC03_VC69	Percent; GRANDPARENTS - Number of grandparents responsible for own grandchildren under 18 years
SOCIAL	SOCIAL-HC01_VC70	Estimate; GRANDPARENTS - Who are female
SOCIAL	SOCIAL-HC02_VC70	Margin of Error; GRANDPARENTS - Who are female
SOCIAL	SOCIAL-HC03_VC70	Percent; GRANDPARENTS - Who are female
SOCIAL	SOCIAL-HC04_VC70	Percent Margin of Error; GRANDPARENTS - Who are female
SOCIAL	SOCIAL-HC01_VC71	Estimate; GRANDPARENTS - Who are married
SOCIAL	SOCIAL-HC02_VC71	Margin of Error; GRANDPARENTS - Who are married
SOCIAL	SOCIAL-HC03_VC71	Percent; GRANDPARENTS - Who are married
SOCIAL	SOCIAL-HC04_VC71	Percent Margin of Error; GRANDPARENTS - Who are married
SOCIAL	SOCIAL-HC01_VC75	Estimate; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school
SOCIAL	SOCIAL-HC02_VC75	Margin of Error; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school
SOCIAL	SOCIAL-HC03_VC75	Percent; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school
SOCIAL	SOCIAL-HC01_VC76	"Estimate; SCHOOL ENROLLMENT - Nursery school, preschool"
SOCIAL	SOCIAL-HC02_VC76	"Margin of Error; SCHOOL ENROLLMENT - Nursery school, preschool"
SOCIAL	SOCIAL-HC03_VC76	"Percent; SCHOOL ENROLLMENT - Nursery school, preschool"
SOCIAL	SOCIAL-HC04_VC76	"Percent Margin of Error; SCHOOL ENROLLMENT - Nursery school, preschool"
SOCIAL	SOCIAL-HC01_VC77	Estimate; SCHOOL ENROLLMENT - Kindergarten
SOCIAL	SOCIAL-HC02_VC77	Margin of Error; SCHOOL ENROLLMENT - Kindergarten
SOCIAL	SOCIAL-HC03_VC77	Percent; SCHOOL ENROLLMENT - Kindergarten
SOCIAL	SOCIAL-HC04_VC77	Percent Margin of Error; SCHOOL ENROLLMENT - Kindergarten
SOCIAL	SOCIAL-HC01_VC78	Estimate; SCHOOL ENROLLMENT - Elementary school (grades 1-8)
SOCIAL	SOCIAL-HC02_VC78	Margin of Error; SCHOOL ENROLLMENT - Elementary school (grades 1-8)
SOCIAL	SOCIAL-HC03_VC78	Percent; SCHOOL ENROLLMENT - Elementary school (grades 1-8)
SOCIAL	SOCIAL-HC04_VC78	Percent Margin of Error; SCHOOL ENROLLMENT - Elementary school (grades 1-8)
SOCIAL	SOCIAL-HC01_VC79	Estimate; SCHOOL ENROLLMENT - High school (grades 9-12)
SOCIAL	SOCIAL-HC02_VC79	Margin of Error; SCHOOL ENROLLMENT - High school (grades 9-12)
SOCIAL	SOCIAL-HC03_VC79	Percent; SCHOOL ENROLLMENT - High school (grades 9-12)
SOCIAL	SOCIAL-HC04_VC79	Percent Margin of Error; SCHOOL ENROLLMENT - High school (grades 9-12)
SOCIAL	SOCIAL-HC01_VC80	Estimate; SCHOOL ENROLLMENT - College or graduate school
SOCIAL	SOCIAL-HC02_VC80	Margin of Error; SCHOOL ENROLLMENT - College or graduate school
SOCIAL	SOCIAL-HC03_VC80	Percent; SCHOOL ENROLLMENT - College or graduate school
SOCIAL	SOCIAL-HC04_VC80	Percent Margin of Error; SCHOOL ENROLLMENT - College or graduate school
SOCIAL	SOCIAL-HC01_VC84	Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over
SOCIAL	SOCIAL-HC02_VC84	Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over
SOCIAL	SOCIAL-HC03_VC84	Percent; EDUCATIONAL ATTAINMENT - Population 25 years and over
SOCIAL	SOCIAL-HC01_VC85	Estimate; EDUCATIONAL ATTAINMENT - Less than 9th grade
SOCIAL	SOCIAL-HC02_VC85	Margin of Error; EDUCATIONAL ATTAINMENT - Less than 9th grade
SOCIAL	SOCIAL-HC03_VC85	Percent; EDUCATIONAL ATTAINMENT - Less than 9th grade
SOCIAL	SOCIAL-HC04_VC85	Percent Margin of Error; EDUCATIONAL ATTAINMENT - Less than 9th grade
SOCIAL	SOCIAL-HC01_VC86	"Estimate; EDUCATIONAL ATTAINMENT - 9th to 12th grade, no diploma"
SOCIAL	SOCIAL-HC02_VC86	"Margin of Error; EDUCATIONAL ATTAINMENT - 9th to 12th grade, no diploma"
SOCIAL	SOCIAL-HC03_VC86	"Percent; EDUCATIONAL ATTAINMENT - 9th to 12th grade, no diploma"
SOCIAL	SOCIAL-HC04_VC86	"Percent Margin of Error; EDUCATIONAL ATTAINMENT - 9th to 12th grade, no diploma"
SOCIAL	SOCIAL-HC01_VC87	Estimate; EDUCATIONAL ATTAINMENT - High school graduate (includes equivalency)
SOCIAL	SOCIAL-HC02_VC87	Margin of Error; EDUCATIONAL ATTAINMENT - High school graduate (includes equivalency)
SOCIAL	SOCIAL-HC03_VC87	Percent; EDUCATIONAL ATTAINMENT - High school graduate (includes equivalency)
SOCIAL	SOCIAL-HC04_VC87	Percent Margin of Error; EDUCATIONAL ATTAINMENT - High school graduate (includes equivalency)
SOCIAL	SOCIAL-HC01_VC88	"Estimate; EDUCATIONAL ATTAINMENT - Some college, no degree"
SOCIAL	SOCIAL-HC02_VC88	"Margin of Error; EDUCATIONAL ATTAINMENT - Some college, no degree"
SOCIAL	SOCIAL-HC03_VC88	"Percent; EDUCATIONAL ATTAINMENT - Some college, no degree"
SOCIAL	SOCIAL-HC04_VC88	"Percent Margin of Error; EDUCATIONAL ATTAINMENT - Some college, no degree"
SOCIAL	SOCIAL-HC01_VC89	Estimate; EDUCATIONAL ATTAINMENT - Associate's degree
SOCIAL	SOCIAL-HC02_VC89	Margin of Error; EDUCATIONAL ATTAINMENT - Associate's degree
SOCIAL	SOCIAL-HC03_VC89	Percent; EDUCATIONAL ATTAINMENT - Associate's degree
SOCIAL	SOCIAL-HC04_VC89	Percent Margin of Error; EDUCATIONAL ATTAINMENT - Associate's degree
SOCIAL	SOCIAL-HC01_VC90	Estimate; EDUCATIONAL ATTAINMENT - Bachelor's degree
SOCIAL	SOCIAL-HC02_VC90	Margin of Error; EDUCATIONAL ATTAINMENT - Bachelor's degree
SOCIAL	SOCIAL-HC03_VC90	Percent; EDUCATIONAL ATTAINMENT - Bachelor's degree
SOCIAL	SOCIAL-HC04_VC90	Percent Margin of Error; EDUCATIONAL ATTAINMENT - Bachelor's degree
SOCIAL	SOCIAL-HC01_VC91	Estimate; EDUCATIONAL ATTAINMENT - Graduate or professional degree
SOCIAL	SOCIAL-HC02_VC91	Margin of Error; EDUCATIONAL ATTAINMENT - Graduate or professional degree
SOCIAL	SOCIAL-HC03_VC91	Percent; EDUCATIONAL ATTAINMENT - Graduate or professional degree
SOCIAL	SOCIAL-HC04_VC91	Percent Margin of Error; EDUCATIONAL ATTAINMENT - Graduate or professional degree
SOCIAL	SOCIAL-HC03_VC93	Percent; EDUCATIONAL ATTAINMENT - Percent high school graduate or higher
SOCIAL	SOCIAL-HC04_VC93	Percent Margin of Error; EDUCATIONAL ATTAINMENT - Percent high school graduate or higher
SOCIAL	SOCIAL-HC03_VC94	Percent; EDUCATIONAL ATTAINMENT - Percent bachelor's degree or higher
SOCIAL	SOCIAL-HC04_VC94	Percent Margin of Error; EDUCATIONAL ATTAINMENT - Percent bachelor's degree or higher
SOCIAL	SOCIAL-HC01_VC98	Estimate; VETERAN STATUS - Civilian population 18 years and over
SOCIAL	SOCIAL-HC02_VC98	Margin of Error; VETERAN STATUS - Civilian population 18 years and over
SOCIAL	SOCIAL-HC03_VC98	Percent; VETERAN STATUS - Civilian population 18 years and over
SOCIAL	SOCIAL-HC01_VC99	Estimate; VETERAN STATUS - Civilian veterans
SOCIAL	SOCIAL-HC02_VC99	Margin of Error; VETERAN STATUS - Civilian veterans
SOCIAL	SOCIAL-HC03_VC99	Percent; VETERAN STATUS - Civilian veterans
SOCIAL	SOCIAL-HC04_VC99	Percent Margin of Error; VETERAN STATUS - Civilian veterans
SOCIAL	SOCIAL-HC01_VC103	Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Total Civilian Noninstitutionalized Population
SOCIAL	SOCIAL-HC02_VC103	Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Total Civilian Noninstitutionalized Population
SOCIAL	SOCIAL-HC03_VC103	Percent; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Total Civilian Noninstitutionalized Population
SOCIAL	SOCIAL-HC01_VC104	Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - With a disability
SOCIAL	SOCIAL-HC02_VC104	Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - With a disability
